link;title;score
https://physics.stackexchange.com/questions/498500/does-an-atom-recoil-when-photon-radiate;Does an atom recoil when photon radiate?;8
https://physics.stackexchange.com/questions/608544/how-local-gauge-invariance-explain-charge-conservation-and-electromagnetic-force;How local gauge invariance explain charge conservation and electromagnetic force appearance?;0
https://physics.stackexchange.com/questions/591015/vanishing-action-integral-for-gravitation-field;Vanishing action integral for Gravitation Field;1
https://physics.stackexchange.com/questions/566293/generator-of-time-shift-in-classical-and-quantum-mechanics;Generator of Time Shift in Classical and Quantum Mechanics;1
https://physics.stackexchange.com/questions/565803/a-priori-properties-of-classical-hamiltonian-unitarity-in-classical-mechanics;A priori properties of classical Hamiltonian (unitarity in Classical Mechanics);2
https://physics.stackexchange.com/questions/558105/radiation-reaction-force-on-particle-from-the-principle-of-least-action;Radiation Reaction Force on particle from the principle of least action;1
https://physics.stackexchange.com/questions/544525/potential-of-an-infinite-charged-plate-poissons-or-laplaces-equation;Potential of an infinite charged plate: Poisson's or Laplace's equation?;3
https://physics.stackexchange.com/questions/446185/what-is-physical-meaning-of-state-getting-by-acting-of-hermitian-operator-to-non;What is physical meaning of state getting by acting of Hermitian operator to non-eigenstate?;3
https://physics.stackexchange.com/questions/509503/absorption-of-dark-matter-by-black-holes;Absorption of dark matter by black holes;10
https://physics.stackexchange.com/questions/450139/comparison-of-covariant-form-of-maxwell-equations-with-einsteins-gr;Comparison of covariant form of Maxwell equations with Einstein's GR;5
https://physics.stackexchange.com/questions/506352/why-do-objects-reflect-laser-light;Why do objects reflect laser light?;0
https://physics.stackexchange.com/questions/483923/some-aspect-of-covariant-derivative-of-point-particle-energy-momentum-tensor;Some aspect of covariant derivative of point particle energy-momentum tensor;1
https://physics.stackexchange.com/questions/477569/interaction-range-of-fundamental-forces-at-a-unification-energies;Interaction range of fundamental forces at a unification energies;1
https://physics.stackexchange.com/questions/21830/does-a-charged-particle-accelerating-in-a-gravitational-field-radiate;Does a charged particle accelerating in a gravitational field radiate?;67
https://physics.stackexchange.com/questions/387997/pi-bond-angular-momentum;Pi-bond angular momentum;3
https://physics.stackexchange.com/questions/446144/does-the-hermitian-operator-reduce-the-non-eigenstate-state-to-the-self-eigensta;Does the Hermitian Operator Reduce the Non-eigenstate State to the Self-Eigenstate?;2
https://physics.stackexchange.com/questions/363452/how-do-we-measure-the-velocity-in-curved-space-time;How do we measure the velocity in curved space-time?;9
https://physics.stackexchange.com/questions/398249/gravity-without-force-of-gravity-what-does-it-mean;Gravity without force of gravity. What does it mean?;1
https://physics.stackexchange.com/questions/387723/shape-of-hydrogen-atom-in-excited-state-with-nonzeros-angular-momentum;Shape of Hydrogen atom in excited state with nonzeros angular momentum;2
https://physics.stackexchange.com/questions/383013/does-energy-conserve-in-de-sitter-universe;Does energy conserve in de Sitter Universe?;1
https://physics.stackexchange.com/questions/383180/stress-energy-pseudotensor-of-gravitation-field-for-dark-energy;Stress–energy pseudotensor of gravitation field for Dark energy;1
https://physics.stackexchange.com/questions/374352/electric-field-lines-of-dielectric-sphere-in-uniform-field;Electric field lines of dielectric sphere in uniform field;0
https://physics.stackexchange.com/questions/362824/3-force-in-general-relativity;3-force in General Relativity;4
https://physics.stackexchange.com/questions/358202/is-the-de-sitter-universe-static;Is the de Sitter Universe static?;6
https://physics.stackexchange.com/questions/357858/is-the-de-sitter-universe-equivalent-to-the-static-einstein-universe;Is the de Sitter Universe equivalent to the static Einstein Universe?;0
https://physics.stackexchange.com/questions/340010/cherenkov-radiation-in-schwarzschild-metrics;Cherenkov radiation in Schwarzschild metrics;1
https://physics.stackexchange.com/questions/22018/does-existence-of-magnetic-monopole-break-covariant-form-of-maxwell-s-equations;Does existence of magnetic monopole break covariant form of Maxwell’s equations for potentials?;13
